crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	Inf	391	0.000000
281474976710655.000000	-84.264183	392	0.000000
281474976710655.000000	-61.281635	393	0.000000
281474976710655.000000	-80.100861	394	0.000000
281474976710655.000000	-37.938187	395	0.000000
281474976710655.000000	-33.742847	396	0.000000
281474976710655.000000	-31.164167	397	0.000000
281474976710655.000000	-26.779919	398	0.000000
281474976710655.000000	-17.981295	399	0.000000
281474976710655.000000	-15.490127	400	0.000000
281474976710655.000000	-13.587679	401	0.000000
281474976710655.000000	-10.274357	402	0.000000
281474976710655.000000	-7.391056	403	0.000000
281474976710655.000000	-7.897674	404	0.000000
281474976710655.000000	-4.983860	405	0.000000
281474976710655.000000	-4.332445	406	0.000000
281474976710655.000000	-3.509534	407	0.000000
281474976710655.000000	-2.903010	408	0.000000
281474976710655.000000	-2.167416	409	0.000000
281474976710655.000000	-1.878678	410	0.000000
