time (s)	det(V)
2089.273718	1.573288	
2089.275717	1.572831	
2089.277718	1.573054	
2089.279718	1.572962	
2089.283718	1.573125	
2089.287718	1.572970	
2089.289718	1.573206	
2089.291718	1.573275	
2089.293718	1.573115	
2089.295718	1.573225	
2089.299718	1.573043	
2089.301718	1.573136	
2089.303718	1.573057	
2089.305718	1.573064	
2089.307720	1.572733	
2089.309718	1.573019	
2089.311718	1.573165	
2089.313718	1.572900	
2089.315718	1.573031	
2089.317718	1.572811	
2089.319718	1.573210	
2089.321718	1.572976	
2089.325718	1.573119	
2089.327719	1.573198	
2089.329718	1.573192	
2089.331718	1.573010	
2089.333718	1.573152	
2089.335718	1.573031	
2089.339717	1.573099	
2089.341717	1.573102	
2089.343717	1.573079	
2089.347718	1.573144	
2089.349718	1.573051	
2089.351718	1.572823	
2089.353718	1.573224	
2089.355718	1.573160	
2089.357718	1.573132	
2089.361718	1.573136	
2089.365718	1.573202	
2089.367721	1.573029	
2089.369718	1.573188	
2089.371718	1.573146	
2089.373718	1.573002	
2089.377718	1.573105	
2089.379718	1.572998	
2089.381719	1.573225	
2089.383718	1.573074	
2089.385720	1.573196	
2089.387718	1.573085	
2089.389718	1.572895	
2089.391718	1.573124	
2089.393718	1.573279	
2089.395718	1.572999	
2089.397718	1.573134	
2089.399718	1.573043	
2089.403718	1.573172	
2089.405718	1.572881	
2089.407718	1.572903	
2089.409718	1.573019	
2089.411718	1.573147	
2089.413718	1.573094	
2089.417717	1.572996	
2089.419718	1.573045	
2089.421718	1.573019	
2089.425718	1.573145	
2089.427718	1.573116	
2089.429719	1.573086	
2089.431718	1.573164	
2089.433718	1.573178	
2089.437717	1.573185	
2089.439718	1.566552	
2089.443720	1.358309	
2089.445718	0.771061	
2089.447719	0.463610	
2089.449718	0.176577	
2089.451718	-0.126053	
2089.455717	-0.419863	
2089.457718	-1.059269	
2089.459718	-1.368574	
2089.463718	-1.638666	
2089.465718	-1.686413	
2089.467718	-1.686612	
2089.469718	-1.687046	
2089.471718	-1.687205	
2089.475718	-1.687229	
2089.477717	-1.687310	
2089.481718	-1.687505	
2089.483718	-1.687270	
2089.485718	-1.687144	
2089.487718	-1.687191	
2089.489718	-1.687172	
2089.493718	-1.687217	
2089.495718	-1.687304	
2089.497718	-1.687400	
2089.501718	-1.687210	
2089.503718	-1.687160	
2089.505718	-1.687604	
2089.507718	-1.687322	
2089.509719	-1.687281	
2089.513718	-1.687210	
2089.517718	-1.687287	
2089.519718	-1.687472	
2089.521718	-1.687221	
2089.523718	-1.687343	
2089.525718	-1.687343	
2089.527718	-1.687356	
2089.529718	-1.687121	
2089.531718	-1.687376	
2089.533718	-1.687241	
2089.535720	-1.687192	
2089.537718	-1.687305	
2089.541718	-1.687417	
2089.543718	-1.687282	
2089.545718	-1.687258	
2089.547718	-1.687434	
2089.549718	-1.687269	
2089.553718	-1.687084	
2089.555718	-1.687326	
2089.557720	-1.687289	
2089.561718	-1.687235	
2089.563718	-1.687160	
2089.565718	-1.687178	
2089.567719	-1.687367	
2089.569717	-1.687616	
2089.573718	-1.687400	
2089.577718	-1.687374	
2089.579720	-1.687390	
2089.581718	-1.686985	
2089.583718	-1.687032	
2089.585718	-1.687176	
2089.587718	-1.687345	
2089.589718	-1.687205	
2089.591718	-1.687364	
2089.593718	-1.687225	
2089.595718	-1.687450	
2089.599718	-1.687364	
2089.601720	-1.687227	
2089.603718	-1.687538	
2089.605718	-1.687018	
2089.607718	-1.687140	
2089.609718	-1.687361	
2089.613717	-1.687274	
2089.615718	-1.687383	
2089.617718	-1.687264	
2089.621718	-1.687137	
2089.623718	-1.686953	
2089.625718	-1.686435	
2089.627718	-1.686558	
2089.629718	-1.686369	
2089.633717	-1.686073	
2089.637717	-1.686023	
2089.639718	-1.681085	
2089.641718	-1.599471	
2089.643718	-1.519525	
2089.645718	-1.438127	
2089.649717	-1.298565	
2089.651719	-1.221088	
2089.653718	-1.175404	
2089.657719	-1.105342	
2089.659718	-0.985107	
2089.661718	-0.924844	
2089.663720	-0.880283	
2089.665718	-0.821716	
2089.667718	-0.776723	
2089.669718	-0.736588	
2089.671718	-0.683770	
2089.673718	-0.659867	
2089.675718	-0.622526	
2089.679718	-0.587869	
2089.681718	-0.527833	
2089.683718	-0.486708	
2089.685718	-0.460255	
2089.687718	-0.423638	
2089.689718	-0.412562	
2089.693718	-0.379224	
2089.695718	-0.358930	
2089.697718	-0.338215	
2089.701718	-0.318078	
2089.703718	-0.266189	
2089.705718	-0.243240	
2089.707718	-0.226059	
2089.709718	-0.217572	
2089.711718	-0.200752	
2089.715718	-0.208611	
2089.719719	-0.184675	
2089.721720	-0.143381	
2089.723718	-0.138868	
2089.725718	-0.130766	
2089.727718	-0.121073	
2089.731717	-0.118443	
2089.733718	-0.110100	
2089.735718	-0.103630	
2089.737720	-0.079586	
2089.739719	-0.066510	
2089.741718	-0.054969	
2089.743718	-0.057779	
2089.745718	-0.056508	
2089.747718	-0.050245	
2089.749718	-0.040256	
2089.751718	-0.038876	
2089.753718	-0.033815	
2089.757718	-0.028131	
2089.759718	-0.023593	
2089.761718	-0.010690	
2089.763718	-0.011809	
2089.765718	-0.004668	
2089.767718	0.005162	
2089.769718	0.007803	
2089.771718	0.020896	
2089.773717	0.005355	
2089.775719	0.004004	
2089.777718	0.009559	
2089.781719	0.006067	
2089.783719	0.027351	
2089.785718	0.025627	
2089.787722	0.040011	
2089.789718	0.034890	
2089.793718	0.038718	
2089.795718	0.030017	
2089.797718	0.026249	
2089.799718	0.025420	
2089.801719	0.030448	
2089.803718	0.035960	
2089.805718	0.049578	
2089.807718	0.050269	
2089.809718	0.052484	
2089.811718	0.052194	
2089.813718	0.029300	
2089.815718	0.039679	
2089.819718	0.031430	
2089.821718	0.040372	
2089.823718	0.053044	
2089.825718	0.049008	
