num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
3657	6781.006490	85.166372	-1.201765	3.726431	116.434383
3659	6783.086501	84.782975	-1.320061	3.720642	113.332992
3661	6785.166862	84.535624	-1.281335	3.720627	113.447563
3663	6787.245745	83.713869	-1.308567	3.725626	119.415778
3665	6789.326547	82.638360	-1.364325	3.727416	109.445494
3667	6791.406919	81.711928	-1.399747	3.727438	106.993137
3669	6793.486558	80.868795	-1.421259	3.724496	107.398150
3671	6795.566736	80.307582	-1.508794	3.721080	103.692144
3673	6797.647103	79.649063	-1.466101	3.720020	107.311504
3675	6799.726822	79.023508	-1.535732	3.719772	104.814822
3677	6801.806462	78.394684	-1.548235	3.720099	102.402361
3679	6803.886689	77.639558	-1.564231	3.721024	95.776758
3681	6805.967181	76.958659	-1.609557	3.720524	99.866771
3683	6808.046984	76.272719	-1.624442	3.720637	97.596584
3685	6810.126364	75.572078	-1.624599	3.719710	97.946188
3687	6812.207044	74.981779	-1.659514	3.718054	87.188341
3689	6814.287065	73.994278	-1.669975	3.715755	90.194012
3691	6816.366480	73.192602	-1.678717	3.715487	89.182186
3693	6818.446383	72.550225	-1.714415	3.718468	86.424774
3695	6820.526707	72.081197	-1.763723	3.718436	84.209223
3697	6822.606333	71.404419	-1.749063	3.718173	85.044460
3699	6824.686101	70.878069	-1.790002	3.716367	80.627111
3701	6826.765870	70.031322	-1.829460	3.711976	78.642511
3703	6828.846230	69.129012	-1.765999	3.710683	78.948533
3705	6830.925798	68.510342	-1.808106	3.713654	78.762591
3707	6833.005098	67.973233	-1.812936	3.713870	76.589393
3709	6835.084812	67.392202	-1.834005	3.712553	73.357058
3711	6837.165037	66.700973	-1.865383	3.711764	70.898217
3713	6839.244749	66.116225	-1.860679	3.710728	73.903555
3715	6841.324715	65.418325	-1.879915	3.710245	72.866987
3717	6843.403974	64.648827	-1.884848	3.709400	69.752837
3719	6845.483258	64.030477	-1.893344	3.708836	68.694844
3721	6847.563585	63.378284	-1.950227	3.708790	64.877724
3723	6849.643089	62.656296	-1.942324	3.708486	64.084822
3725	6851.723036	61.983352	-1.960751	3.706889	64.181390
3727	6853.803179	61.354276	-1.964402	3.703843	64.611319
3729	6855.881806	60.840436	-1.975447	3.702098	60.793347
3731	6857.961527	60.397425	-2.024124	3.701574	58.836100
3733	6860.041480	59.905492	-1.993546	3.703831	60.561208
3735	6862.121020	59.203517	-2.023069	3.705608	58.714042
3737	6864.200308	58.433198	-2.019686	3.706114	55.776133
3739	6866.279817	57.669877	-2.066038	3.706012	53.868530
3741	6868.360545	56.979533	-2.089825	3.703279	52.092442
3743	6870.440403	56.423297	-2.134746	3.698898	54.627494
3745	6872.519505	56.037551	-2.096822	3.697132	50.093253
3747	6874.598869	55.557910	-2.063499	3.698182	48.654568
3749	6876.678361	55.035803	-2.091328	3.700294	49.361880
3751	6878.758680	54.378659	-2.137051	3.701136	49.620359
3753	6880.837629	53.681365	-2.136745	3.700515	47.664435
3755	6882.916802	53.003798	-2.145116	3.699528	44.739431
3757	6884.996007	52.436928	-2.116365	3.698142	44.171695
3759	6887.076589	51.866437	-2.172484	3.697696	44.164597
3761	6889.156073	51.330163	-2.181038	3.696842	42.259582
3763	6891.235217	50.768260	-2.186350	3.696409	42.818169
3765	6893.314203	50.253777	-2.187005	3.694874	40.875125
3767	6895.394418	49.719356	-2.174950	3.694462	38.256261
3769	6897.473606	49.207909	-2.187583	3.693429	39.243318
3771	6899.553565	48.692674	-2.215223	3.692673	39.896087
3773	6901.632927	48.138039	-2.213343	3.691606	40.858080
3775	6903.711815	47.597732	-2.219380	3.689772	34.602868
3777	6905.791786	47.072435	-2.203507	3.691033	34.937165
3779	6907.870640	46.564026	-2.223491	3.690177	37.092496
3781	6909.950474	46.099392	-2.232192	3.689095	34.399931
3783	6912.030076	45.650751	-2.235609	3.689518	32.503595
3785	6914.110606	45.209558	-2.240895	3.689534	31.677420
3787	6916.190263	44.752945	-2.251983	3.689689	32.098769
3789	6918.269923	44.196268	-2.243521	3.689896	33.338209
3791	6920.348680	43.707338	-2.246013	3.689340	31.009533
3793	6922.427478	43.208393	-2.251998	3.687469	29.749988
3795	6924.507980	42.820785	-2.234525	3.681531	29.221839
3797	6926.586958	42.228709	-2.204214	3.679401	29.835180
3799	6928.665154	41.636517	-2.225718	3.681008	28.277724
