crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	Inf	1054	0.000000
281474976710655.000000	Inf	1055	0.000000
281474976710655.000000	Inf	1056	0.000000
281474976710655.000000	144.336838	1057	0.000000
281474976710655.000000	130.743240	1058	0.000000
281474976710655.000000	Inf	1059	0.000000
281474976710655.000000	114.042717	1060	0.000000
281474976710655.000000	98.141914	1061	0.000000
281474976710655.000000	98.539528	1062	0.000000
281474976710655.000000	47.796093	1063	0.000000
281474976710655.000000	85.105667	1064	0.000000
281474976710655.000000	143.119690	1065	0.000000
281474976710655.000000	47.299389	1066	0.000000
281474976710655.000000	65.652245	1067	0.000000
281474976710655.000000	69.047981	1068	0.000000
281474976710655.000000	62.414059	1069	0.000000
281474976710655.000000	48.933636	1070	0.000000
281474976710655.000000	49.118580	1071	0.000000
281474976710655.000000	42.890896	1072	0.000000
281474976710655.000000	37.184174	1073	0.000000
281474976710655.000000	33.740673	1074	0.000000
281474976710655.000000	35.063217	1075	0.000000
281474976710655.000000	31.632681	1076	0.000000
281474976710655.000000	29.143320	1077	0.000000
281474976710655.000000	25.998999	1078	0.000000
281474976710655.000000	23.983297	1079	0.000000
281474976710655.000000	21.813538	1080	0.000000
281474976710655.000000	19.750429	1081	0.000000
281474976710655.000000	18.414305	1082	0.000000
281474976710655.000000	15.743485	1083	0.000000
281474976710655.000000	14.780149	1084	0.000000
281474976710655.000000	12.937505	1085	0.000000
281474976710655.000000	11.910537	1086	0.000000
281474976710655.000000	11.082060	1087	0.000000
281474976710655.000000	9.975201	1088	0.000000
281474976710655.000000	9.218656	1089	0.000000
281474976710655.000000	8.314786	1090	0.000000
281474976710655.000000	7.487395	1091	0.000000
281474976710655.000000	6.804562	1092	0.000000
281474976710655.000000	6.193431	1093	0.000000
281474976710655.000000	5.703630	1094	0.000000
281474976710655.000000	5.082391	1095	0.000000
281474976710655.000000	4.631520	1096	0.000000
281474976710655.000000	4.145656	1097	0.000000
281474976710655.000000	3.851973	1098	0.000000
281474976710655.000000	3.365969	1099	0.000000
281474976710655.000000	3.124881	1100	0.000000
281474976710655.000000	2.743837	1101	0.000000
281474976710655.000000	2.533333	1102	0.000000
281474976710655.000000	2.214666	1103	0.000000
281474976710655.000000	2.057798	1104	0.000000
281474976710655.000000	1.779418	1105	0.000000
281474976710655.000000	1.674846	1106	0.000000
281474976710655.000000	1.172592	1107	0.000000
