num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
2625	5166.888077	93.069598	-4.628661	0.167588	129.501478
2627	5168.974064	91.207011	-4.841302	0.170600	137.242182
2629	5171.058630	89.490352	-5.074347	0.168472	121.856470
2631	5173.143131	87.633796	-5.243306	0.165190	112.952328
2633	5175.228100	85.680346	-5.426980	0.164259	110.582340
2635	5177.313329	83.899216	-5.604757	0.163758	105.518752
2637	5179.398584	82.093782	-5.769278	0.163329	100.573733
2639	5181.482979	80.378910	-5.925713	0.162307	92.813812
2641	5183.567700	78.575817	-6.059599	0.162073	92.624326
2643	5185.652820	76.800875	-6.230895	0.161449	91.165445
2645	5187.738682	75.003956	-6.385318	0.158933	85.585004
2647	5189.823683	73.375590	-6.490278	0.156891	80.827864
2649	5191.907629	71.765326	-6.577790	0.157863	76.467357
2651	5193.992199	69.970731	-6.732790	0.158456	74.674836
2653	5196.077807	68.204890	-6.853573	0.155761	70.597074
2655	5198.163226	66.570445	-6.929931	0.153360	66.317187
2657	5200.248232	65.004485	-7.025124	0.152673	63.361001
2659	5202.332634	63.358998	-7.117195	0.151983	61.600620
2661	5204.417606	61.684384	-7.220619	0.150911	58.422776
2663	5206.501988	60.062594	-7.286372	0.150480	54.273315
2665	5208.587098	58.471571	-7.359863	0.149601	52.470031
2667	5210.671693	56.947617	-7.441576	0.148540	48.825117
2669	5212.755298	55.446281	-7.531204	0.145351	46.177648
2671	5214.838828	53.827626	-7.594418	0.142236	44.945392
2673	5216.923633	52.326357	-7.645198	0.141095	41.296639
2675	5219.009691	50.847123	-7.698029	0.142224	39.067355
2677	5221.094813	49.525236	-7.775341	0.141382	36.858332
2679	5223.178557	48.128567	-7.823248	0.138955	35.553666
2681	5225.262214	46.773233	-7.859242	0.136521	33.488603
2683	5227.345545	45.428332	-7.874122	0.135135	32.241355
2685	5229.429913	44.136042	-7.903260	0.134139	30.150657
2687	5231.514781	42.869122	-7.922556	0.133009	28.281257
2689	5233.599458	41.622742	-7.931626	0.131176	27.218374
2691	5235.685382	40.448017	-7.914324	0.128787	25.728177
2693	5237.770338	39.359593	-7.897882	0.126256	23.513537
2695	5239.854016	38.273083	-7.857947	0.126176	22.948295
2697	5241.935612	37.185856	-7.829357	0.127452	22.347338
2699	5244.019762	36.039106	-7.807866	0.127518	20.212601
2701	5246.104830	34.993216	-7.744144	0.125569	19.387366
2703	5248.189408	33.968708	-7.674630	0.122560	18.476421
2705	5250.274610	33.031164	-7.595160	0.121158	17.912349
2707	5252.358861	32.088626	-7.535021	0.119777	15.764236
2709	5254.443598	31.158204	-7.456468	0.119715	15.767869
2711	5256.526706	30.253288	-7.383086	0.118955	14.396095
2713	5258.609972	29.393437	-7.299028	0.117872	14.278887
2715	5260.692475	28.553360	-7.210051	0.116436	13.849482
2717	5262.775593	27.703825	-7.113012	0.113468	12.628803
2719	5264.860057	26.885552	-7.006642	0.112198	11.708536
2723	5269.030715	25.315680	-6.824443	0.113561	10.206695
2725	5271.115606	24.624164	-6.731344	0.113686	9.308443
2727	5273.198906	23.947847	-6.628280	0.112641	9.070658
2729	5275.282802	23.267250	-6.528972	0.110428	8.114555
2731	5277.366277	22.591093	-6.424296	0.109022	7.814717
2733	5279.448413	21.924431	-6.323578	0.107855	7.629353
2735	5281.534201	21.301419	-6.221755	0.105987	7.169400
